<<<<<<< HEAD
<<<<<<< HEAD
11,11,1
46,20,1
34,49,1
14,41,1
37,27,1
46,48,1
43,42,1
19,11,1
40,33,1
44,37,1
33,1,1
16,12,1
15,35,1
37,32,1
24,29,1
21,10,1
36,7,1
44,46,1
2,42,1
33,28,1
26,37,1
27,1,1
14,42,1
29,33,1
28,45,1
12,10,1
5,25,1
33,43,1
47,0,1
3,14,1
28,27,1
28,36,1
35,47,1
7,50,1
16,1,1
1,3,1
44,16,1
42,15,1
2,28,1
49,30,1
47,48,1
14,28,1
21,26,1
30,12,1
16,10,1
43,5,1
33,47,1
27,29,1
3,0,1
4,6,1
19,6,1
1,10,1
37,48,1
38,47,1
15,39,1
3,29,1
17,16,1
7,30,1
35,42,1
30,14,1
8,34,1
5,13,1
3,33,1
=======
=======
>>>>>>> 1f93cd738db6f4c725f727ff71390d5454c00137
45,28,1
34,38,1
16,34,1
12,29,1
37,48,1
32,13,1
3,43,1
40,9,1
38,25,1
30,33,1
25,14,1
42,30,1
47,25,1
25,34,1
3,2,1
38,31,1
9,23,1
7,15,1
16,34,1
39,20,1
20,37,1
21,21,1
39,22,1
22,42,1
1,0,1
12,18,1
2,16,1
41,28,1
17,32,1
37,47,1
25,15,1
6,0,1
14,27,1
28,23,1
49,36,1
11,25,1
41,28,1
19,10,1
29,41,1
17,21,1
50,48,1
44,3,1
16,11,1
40,8,1
7,46,1
14,13,1
50,4,1
16,46,1
50,30,1
25,19,1
12,11,1
10,39,1
37,46,1
13,20,1
44,20,1
18,18,1
32,45,1
47,42,1
1,22,1
25,26,1
22,10,1
24,11,1
24,44,1
<<<<<<< HEAD
>>>>>>> 1f93cd738db6f4c725f727ff71390d5454c00137
=======
>>>>>>> 1f93cd738db6f4c725f727ff71390d5454c00137
